Run,Dataset,Label_Ratio,GMean
18,INSECTS incremental_imbalanced,0.05,0.256502765
18,INSECTS incremental_imbalanced,0.1,0.242432147
18,INSECTS incremental_imbalanced,0.2,0.202891199
18,INSECTS incremental_imbalanced,0.5,0.140975782
18,INSECTS incremental_imbalanced,1,0.397326651
18,INSECTS incremental-abrupt_imbalanced,0.05,0.253621112
18,INSECTS incremental-abrupt_imbalanced,0.1,0.255928533
18,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048
18,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
18,INSECTS incremental-abrupt_imbalanced,1,0.388659324
18,Keystroke,0.05,0.595635683
18,Keystroke,0.1,0.631897724
18,Keystroke,0.2,0.74264432
18,Keystroke,0.5,0.684794435
18,Keystroke,1,0.940603409
18,NOAA,0.05,0.555939853
18,NOAA,0.1,0.56867797
18,NOAA,0.2,0.574929936
18,NOAA,0.5,0.65697857
18,NOAA,1,0.673206388
18,Ozone,0.05,0.29514409
18,Ozone,0.1,0.544095336
18,Ozone,0.2,0.529621612
18,Ozone,0.5,0.521537607
18,Ozone,1,0.474968935
19,INSECTS incremental_imbalanced,0.05,0.23777554
19,INSECTS incremental_imbalanced,0.1,0.250226153
19,INSECTS incremental_imbalanced,0.2,0.201822281
19,INSECTS incremental_imbalanced,0.5,0.140975782
19,INSECTS incremental_imbalanced,1,0.397326651
19,INSECTS incremental-abrupt_imbalanced,0.05,0.236757348
19,INSECTS incremental-abrupt_imbalanced,0.1,0.261829691
19,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
19,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
19,INSECTS incremental-abrupt_imbalanced,1,0.388659324
19,Keystroke,0.05,0.58616408
19,Keystroke,0.1,0.703439806
19,Keystroke,0.2,0.794458979
19,Keystroke,0.5,0.684794435
19,Keystroke,1,0.940603409
19,NOAA,0.05,0.530457004
19,NOAA,0.1,0.566181584
19,NOAA,0.2,0.576154674
19,NOAA,0.5,0.65697857
19,NOAA,1,0.673206388
19,Ozone,0.05,0.474030474
19,Ozone,0.1,0.500547761
19,Ozone,0.2,0.530672797
19,Ozone,0.5,0.521537607
19,Ozone,1,0.474968935
20,INSECTS incremental_imbalanced,0.05,0.265674324
20,INSECTS incremental_imbalanced,0.1,0.247064631
20,INSECTS incremental_imbalanced,0.2,0.201822281
20,INSECTS incremental_imbalanced,0.5,0.140975782
20,INSECTS incremental_imbalanced,1,0.397326651
20,INSECTS incremental-abrupt_imbalanced,0.05,0.238917833
20,INSECTS incremental-abrupt_imbalanced,0.1,0.246993937
20,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
20,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
20,INSECTS incremental-abrupt_imbalanced,1,0.388659324
20,Keystroke,0.05,0.618715253
20,Keystroke,0.1,0.669397273
20,Keystroke,0.2,0.759429881
20,Keystroke,0.5,0.684794435
20,Keystroke,1,0.940603409
20,NOAA,0.05,0.525271946
20,NOAA,0.1,0.555774044
20,NOAA,0.2,0.564626106
20,NOAA,0.5,0.664807861
20,NOAA,1,0.673206388
