Run,Dataset,Label_Ratio,GMean
13,INSECTS incremental-abrupt_imbalanced,0.05,0.254804587
13,INSECTS incremental-abrupt_imbalanced,0.1,0.248337646
13,INSECTS incremental-abrupt_imbalanced,0.2,0.274110233
13,INSECTS incremental-abrupt_imbalanced,0.5,0.347697341
13,INSECTS incremental-abrupt_imbalanced,1,0.388659324
13,Keystroke,0.05,0.517639783
13,Keystroke,0.1,0.642807496
13,Keystroke,0.2,0.79706344
13,Keystroke,0.5,0.925166242
13,Keystroke,1,0.940603409
13,NOAA,0.05,0.553217039
13,NOAA,0.1,0.562205716
13,NOAA,0.2,0.61347139
13,NOAA,0.5,0.666329829
13,NOAA,1,0.673206388
13,Ozone,0.05,0.387604362
13,Ozone,0.1,0.413782882
13,Ozone,0.2,0.50658345
13,Ozone,0.5,0.501651993
13,Ozone,1,0.474968935
14,INSECTS incremental_imbalanced,0.05,0.246756444
14,INSECTS incremental_imbalanced,0.1,0.247203678
14,INSECTS incremental_imbalanced,0.2,0.27540536
14,INSECTS incremental_imbalanced,0.5,0.345434264
14,INSECTS incremental_imbalanced,1,0.397326651
14,INSECTS incremental-abrupt_imbalanced,0.05,0.250863706
14,INSECTS incremental-abrupt_imbalanced,0.1,0.255008244
14,INSECTS incremental-abrupt_imbalanced,0.2,0.28022644
14,INSECTS incremental-abrupt_imbalanced,0.5,0.349967472
14,INSECTS incremental-abrupt_imbalanced,1,0.388659324
14,Keystroke,0.05,0.541249381
14,Keystroke,0.1,0.65756399
14,Keystroke,0.2,0.776649443
14,Keystroke,0.5,0.911721295
14,Keystroke,1,0.940603409
14,NOAA,0.05,0.531137209
14,NOAA,0.1,0.579061051
14,NOAA,0.2,0.620274879
14,NOAA,0.5,0.666456974
14,NOAA,1,0.673206388
14,Ozone,0.05,0.437670107
14,Ozone,0.1,0.448366907
14,Ozone,0.2,0.466790804
14,Ozone,0.5,0.460353766
14,Ozone,1,0.474968935
15,INSECTS incremental_imbalanced,0.05,0.250531706
15,INSECTS incremental_imbalanced,0.1,0.254636777
15,INSECTS incremental_imbalanced,0.2,0.271485192
15,INSECTS incremental_imbalanced,0.5,0.351124392
15,INSECTS incremental_imbalanced,1,0.397326651
15,INSECTS incremental-abrupt_imbalanced,0.05,0.256300506
15,INSECTS incremental-abrupt_imbalanced,0.1,0.250391336
15,INSECTS incremental-abrupt_imbalanced,0.2,0.277518964
15,INSECTS incremental-abrupt_imbalanced,0.5,0.336935327
15,INSECTS incremental-abrupt_imbalanced,1,0.388659324
15,Keystroke,0.05,0.644056609
15,Keystroke,0.1,0.655137229
15,Keystroke,0.2,0.795405609
15,Keystroke,0.5,0.925166242
15,Keystroke,1,0.940603409
15,NOAA,0.05,0.528967895
15,NOAA,0.1,0.574453039
15,NOAA,0.2,0.62244167
15,NOAA,0.5,0.659459807
15,NOAA,1,0.673206388
15,Ozone,0.05,0.444151141
15,Ozone,0.1,0.537755587
15,Ozone,0.2,0.467628295
15,Ozone,0.5,0.453433361
15,Ozone,1,0.474968935
16,INSECTS incremental_imbalanced,0.05,0.253309001
16,INSECTS incremental_imbalanced,0.1,0.245991205
16,INSECTS incremental_imbalanced,0.2,0.272204451
16,INSECTS incremental_imbalanced,0.5,0.35122011
16,INSECTS incremental_imbalanced,1,0.397326651
16,INSECTS incremental-abrupt_imbalanced,0.05,0.250653183
16,INSECTS incremental-abrupt_imbalanced,0.1,0.252631854
16,INSECTS incremental-abrupt_imbalanced,0.2,0.27367829
16,INSECTS incremental-abrupt_imbalanced,0.5,0.342625501
16,INSECTS incremental-abrupt_imbalanced,1,0.388659324
16,Keystroke,0.05,0.543088423
16,Keystroke,0.1,0.679880685
16,Keystroke,0.2,0.783850619
16,Keystroke,0.5,0.929929169
16,Keystroke,1,0.940603409
16,NOAA,0.05,0.545730737
16,NOAA,0.1,0.564243526
16,NOAA,0.2,0.632313588
16,NOAA,0.5,0.661538449
16,NOAA,1,0.673206388
16,Ozone,0.05,0.484481999
16,Ozone,0.1,0.361789514
16,Ozone,0.2,0.393828872
16,Ozone,0.5,0.516271903
16,Ozone,1,0.474968935
17,INSECTS incremental_imbalanced,0.05,0.253660863
17,INSECTS incremental_imbalanced,0.1,0.243984942
17,INSECTS incremental_imbalanced,0.2,0.277655435
17,INSECTS incremental_imbalanced,0.5,0.34165005
17,INSECTS incremental_imbalanced,1,0.397326651
17,INSECTS incremental-abrupt_imbalanced,0.05,0.249439953
17,INSECTS incremental-abrupt_imbalanced,0.1,0.260255229
17,INSECTS incremental-abrupt_imbalanced,0.2,0.270583873
17,INSECTS incremental-abrupt_imbalanced,0.5,0.347127641
17,INSECTS incremental-abrupt_imbalanced,1,0.388659324
17,Keystroke,0.05,0.581265238
17,Keystroke,0.1,0.672391448
17,Keystroke,0.2,0.777436288
17,Keystroke,0.5,0.931875975
17,Keystroke,1,0.940603409
17,NOAA,0.05,0.550203815
17,NOAA,0.1,0.588299515
17,NOAA,0.2,0.623957386
17,NOAA,0.5,0.651531741
17,NOAA,1,0.673206388
17,Ozone,0.05,0.546161679
17,Ozone,0.1,0.440146476
17,Ozone,0.2,0.569627645
17,Ozone,0.5,0.564889762
17,Ozone,1,0.474968935
18,INSECTS incremental_imbalanced,0.05,0.242432868
18,INSECTS incremental_imbalanced,0.1,0.2521071
18,INSECTS incremental_imbalanced,0.2,0.251488972
18,INSECTS incremental_imbalanced,0.5,0.33781914
18,INSECTS incremental_imbalanced,1,0.397326651
18,INSECTS incremental-abrupt_imbalanced,0.05,0.253265363
18,INSECTS incremental-abrupt_imbalanced,0.1,0.253231894
18,INSECTS incremental-abrupt_imbalanced,0.2,0.262755978
18,INSECTS incremental-abrupt_imbalanced,0.5,0.34443981
18,INSECTS incremental-abrupt_imbalanced,1,0.388659324
18,Keystroke,0.05,0.582219224
18,Keystroke,0.1,0.678210715
18,Keystroke,0.2,0.768285197
18,Keystroke,0.5,0.926684425
18,Keystroke,1,0.940603409
18,NOAA,0.05,0.540479827
18,NOAA,0.1,0.569533976
18,NOAA,0.2,0.62326202
18,NOAA,0.5,0.664209983
18,NOAA,1,0.673206388
18,Ozone,0.05,0.373331025
18,Ozone,0.1,0.488729964
18,Ozone,0.2,0.566312962
18,Ozone,0.5,0.496079699
18,Ozone,1,0.474968935
19,INSECTS incremental_imbalanced,0.05,0.245581265
19,INSECTS incremental_imbalanced,0.1,0.251041897
19,INSECTS incremental_imbalanced,0.2,0.279476667
19,INSECTS incremental_imbalanced,0.5,0.345465401
19,INSECTS incremental_imbalanced,1,0.397326651
19,INSECTS incremental-abrupt_imbalanced,0.05,0.269243075
19,INSECTS incremental-abrupt_imbalanced,0.1,0.262959644
19,INSECTS incremental-abrupt_imbalanced,0.2,0.281217956
19,INSECTS incremental-abrupt_imbalanced,0.5,0.346877592
19,INSECTS incremental-abrupt_imbalanced,1,0.388659324
19,Keystroke,0.05,0.583263043
19,Keystroke,0.1,0.676244583
19,Keystroke,0.2,0.774504103
19,Keystroke,0.5,0.91234584
19,Keystroke,1,0.940603409
19,NOAA,0.05,0.557896128
19,NOAA,0.1,0.581530453
19,NOAA,0.2,0.615188572
19,NOAA,0.5,0.659129677
19,NOAA,1,0.673206388
19,Ozone,0.05,0.49600002
19,Ozone,0.1,0.471891176
19,Ozone,0.2,0.487620785
19,Ozone,0.5,0.469394231
19,Ozone,1,0.474968935
20,INSECTS incremental_imbalanced,0.05,0.252892948
20,INSECTS incremental_imbalanced,0.1,0.246116264
20,INSECTS incremental_imbalanced,0.2,0.278452392
20,INSECTS incremental_imbalanced,0.5,0.340578474
20,INSECTS incremental_imbalanced,1,0.397326651
20,INSECTS incremental-abrupt_imbalanced,0.05,0.251981267
20,INSECTS incremental-abrupt_imbalanced,0.1,0.249097083
20,INSECTS incremental-abrupt_imbalanced,0.2,0.267314231
20,INSECTS incremental-abrupt_imbalanced,0.5,0.348245111
20,INSECTS incremental-abrupt_imbalanced,1,0.388659324
20,Keystroke,0.05,0.55334324
20,Keystroke,0.1,0.623787471
20,Keystroke,0.2,0.80786703
20,Keystroke,0.5,0.910239011
20,Keystroke,1,0.940603409
20,NOAA,0.05,0.543387401
20,NOAA,0.1,0.581195648
20,NOAA,0.2,0.623751564
20,NOAA,0.5,0.662588995
20,NOAA,1,0.673206388
20,Ozone,0.05,0.421542578
20,Ozone,0.1,0.53285796
20,Ozone,0.2,0.453898004
20,Ozone,0.5,0.466883933
20,Ozone,1,0.474968935
21,INSECTS incremental_imbalanced,0.05,0.247869148
21,INSECTS incremental_imbalanced,0.1,0.245418706
21,INSECTS incremental_imbalanced,0.2,0.263368925
21,INSECTS incremental_imbalanced,0.5,0.353210187
21,INSECTS incremental_imbalanced,1,0.397326651
21,INSECTS incremental-abrupt_imbalanced,0.05,0.257563111
21,INSECTS incremental-abrupt_imbalanced,0.1,0.253346326
21,INSECTS incremental-abrupt_imbalanced,0.2,0.279337721
21,INSECTS incremental-abrupt_imbalanced,0.5,0.351191317
21,INSECTS incremental-abrupt_imbalanced,1,0.388659324
21,Keystroke,0.05,0.566044997
21,Keystroke,0.1,0.641047476
21,Keystroke,0.2,0.770263342
