Run,Dataset,Label_Ratio,GMean,Labeling Strategy
7,INSECTS incremental_imbalanced,0.2,0.201822281,Uniform
7,INSECTS incremental_imbalanced,0.2,0.274685661,Non_Uniform
7,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
7,INSECTS incremental_imbalanced,0.5,0.339862602,Non_Uniform
7,INSECTS incremental_imbalanced,1,0.397326651,Uniform
7,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
7,INSECTS incremental-abrupt_imbalanced,0.05,0.258644941,Uniform
7,INSECTS incremental-abrupt_imbalanced,0.05,0.239798184,Non_Uniform
7,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802,Uniform
7,INSECTS incremental-abrupt_imbalanced,0.1,0.256193207,Non_Uniform
7,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048,Uniform
7,INSECTS incremental-abrupt_imbalanced,0.2,0.279147133,Non_Uniform
7,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
7,INSECTS incremental-abrupt_imbalanced,0.5,0.353344014,Non_Uniform
7,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
7,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
7,Keystroke,0.05,0.564406712,Uniform
7,Keystroke,0.05,0.541260967,Non_Uniform
7,Keystroke,0.1,0.703439806,Uniform
7,Keystroke,0.1,0.683182373,Non_Uniform
7,Keystroke,0.2,0.74264432,Uniform
7,Keystroke,0.2,0.789351392,Non_Uniform
7,Keystroke,0.5,0.684794435,Uniform
7,Keystroke,0.5,0.919260594,Non_Uniform
7,Keystroke,1,0.940603409,Uniform
7,Keystroke,1,0.940603409,Non_Uniform
7,NOAA,0.05,0.525271946,Uniform
7,NOAA,0.05,0.537127183,Non_Uniform
7,NOAA,0.1,0.568087838,Uniform
7,NOAA,0.1,0.577075604,Non_Uniform
7,NOAA,0.2,0.574929936,Uniform
7,NOAA,0.2,0.630285891,Non_Uniform
7,NOAA,0.5,0.664807861,Uniform
7,NOAA,0.5,0.66742029,Non_Uniform
7,NOAA,1,0.673206388,Uniform
7,NOAA,1,0.673206388,Non_Uniform
7,Ozone,0.05,0.386896732,Uniform
7,Ozone,0.05,0.430792047,Non_Uniform
7,Ozone,0.1,0.444960184,Uniform
7,Ozone,0.1,0.505836509,Non_Uniform
7,Ozone,0.2,0.530672797,Uniform
7,Ozone,0.2,0.436913905,Non_Uniform
7,Ozone,0.5,0.485630903,Uniform
