Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
28,INSECTS incremental-abrupt_imbalanced,0.260382413,0.262414502,0.277258655,0.343861698,0.388659324
28,INSECTS incremental_imbalanced,0.249068598,0.246523205,0.283184042,0.346610523,0.397326651
28,Keystroke,0.501925115,0.650513652,0.775789055,0.920961027,0.940603409
28,NOAA,0.560251818,0.57920396,0.619847654,0.655330656,0.673206388
28,Ozone,0.454738959,0.402959253,0.482020214,0.535226229,0.474968935
29,INSECTS incremental-abrupt_imbalanced,0.248515475,0.246116167,0.279747899,0.347494113,0.388659324
29,INSECTS incremental_imbalanced,0.245643867,0.244807976,0.256664728,0.354387933,0.397326651
29,Keystroke,0.606541184,0.674557865,0.79026182,0.923776813,0.940603409
29,NOAA,0.557747241,0.578262012,0.617979114,0.664081793,0.673206388
29,Ozone,0.512630315,0.490164649,0.470722732,0.508926432,0.474968935
