Run,Seed,Model,Dataset,Minority_Class_Orig,Labeling_Strategy,Label_Ratio,H,N,lam,alpha,beta,gamma,Accuracy,GMean
0,12345,OSNN_none_baseline_newton,Keystroke,3,nonuniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.72090112640801,0.6370241259485765
0,12345,OSNN_none_baseline_newton,Keystroke,3,uniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8473091364205256,0.7426443201736722
0,12345,OSNN_none_baseline_newton,Keystroke,3,nonuniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8229036295369212,0.7783109690423515
0,12345,OSNN_none_baseline_newton,Keystroke,3,uniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8610763454317898,0.6847944346738353
0,12345,OSNN_none_baseline_newton,Keystroke,3,nonuniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9305381727158949,0.9217788875679146
0,12345,OSNN_none_baseline_newton,Keystroke,3,uniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9568210262828536,0.9406034088346161
0,12345,OSNN_none_baseline_newton,Keystroke,3,nonuniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9568210262828536,0.9406034088346161
0,12345,OSNN_none_baseline_newton,NOAA,2,uniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6328688660020929,0.5478965801857953
0,12345,OSNN_none_baseline_newton,NOAA,2,nonuniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6176130418020598,0.5282545518177235
0,12345,OSNN_none_baseline_newton,NOAA,2,uniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6551743129371592,0.5666837369985622
0,12345,OSNN_none_baseline_newton,NOAA,2,nonuniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6577628462851792,0.577678061440206
0,12345,OSNN_none_baseline_newton,NOAA,2,uniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6989590791430302,0.5761546738404952
0,12345,OSNN_none_baseline_newton,NOAA,2,nonuniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.6822713003249435,0.6244904730901785
0,12345,OSNN_none_baseline_newton,NOAA,2,uniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.7231921572947073,0.6569785696379097
0,12345,OSNN_none_baseline_newton,NOAA,2,nonuniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.7300214793192707,0.6703380745260461
0,12345,OSNN_none_baseline_newton,NOAA,2,uniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.7501789943272567,0.673206388383215
0,12345,OSNN_none_baseline_newton,NOAA,2,nonuniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.7501789943272567,0.673206388383215
0,12345,OSNN_none_baseline_newton,Ozone,2,uniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8909952606635071,0.39821680414412575
0,12345,OSNN_none_baseline_newton,Ozone,2,nonuniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8712480252764613,0.4214956956083984
0,12345,OSNN_none_baseline_newton,Ozone,2,uniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8870458135860979,0.4996019705774713
0,12345,OSNN_none_baseline_newton,Ozone,2,nonuniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.906003159557662,0.3941766238534148
0,12345,OSNN_none_baseline_newton,Ozone,2,uniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9166666666666666,0.5306727967405968
0,12345,OSNN_none_baseline_newton,Ozone,2,nonuniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.8933649289099526,0.4402452415201695
0,12345,OSNN_none_baseline_newton,Ozone,2,uniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9218009478672986,0.4856309025631448
0,12345,OSNN_none_baseline_newton,Ozone,2,nonuniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9166666666666666,0.5194874403432255
